日時,中通,高野,片山,国分橋
2024-11-02 09:50:00,1.43,0.84,0.87,0.92
2024-11-02 10:00:00,1.43,0.84,0.87,0.93
2024-11-02 10:10:00,1.44,0.8,0.88,0.93
2024-11-02 10:20:00,1.44,0.8,0.88,0.95
2024-11-02 10:30:00,1.44,0.8,0.88,0.97
2024-11-02 10:40:00,1.44,0.8,0.88,1
2024-11-02 10:50:00,1.44,0.8,0.88,1.04
2024-11-02 11:00:00,1.44,0.8,0.88,1.1
2024-11-02 11:10:00,1.88,1.1,0.95,1.17
2024-11-02 11:20:00,2.14,1.74,1,1.28
2024-11-02 11:30:00,2.77,2.42,1.85,1.45
2024-11-02 11:40:00,2.77,2.42,1.85,1.74
2024-11-02 11:50:00,3.18,2.68,2.18,1.92
2024-11-02 12:00:00,3.53,2.98,2.34,2.19
2024-11-02 12:10:00,3.76,3.22,2.46,2.37
2024-11-02 12:20:00,3.88,3.34,2.58,2.36
2024-11-02 12:30:00,3.8,3.34,2.61,2.31
2024-11-02 12:40:00,3.71,3.34,2.62,2.29
2024-11-02 12:50:00,3.58,3.33,2.56,2.23
2024-11-02 13:00:00,3.45,3.28,2.51,2.17
2024-11-02 13:10:00,3.32,3.24,2.42,2.11
2024-11-02 13:20:00,3.12,3.16,2.42,2.04
2024-11-02 13:30:00,2.93,3.08,2.4,1.98
2024-11-02 13:40:00,2.77,3.03,2.33,1.92
2024-11-02 13:50:00,2.65,2.97,2.29,1.87
2024-11-02 14:00:00,2.54,2.81,2.24,1.82
2024-11-02 14:10:00,2.47,2.7,2.19,1.78
2024-11-02 14:20:00,2.4,2.42,2.16,1.73
2024-11-02 14:30:00,2.33,2.27,2.1,1.71
2024-11-02 14:40:00,2.29,2.14,2.05,1.67
2024-11-02 14:50:00,2.25,2.05,1.98,1.65
2024-11-02 15:00:00,2.23,1.97,1.92,1.62
2024-11-02 15:10:00,2.19,1.93,1.89,1.61
2024-11-02 15:20:00,2.15,1.9,1.86,1.57
2024-11-02 15:30:00,2.11,1.86,1.84,1.55
2024-11-02 15:40:00,2.08,1.8,1.83,1.54
2024-11-02 15:50:00,2.06,1.73,1.82,1.53
2024-11-02 16:00:00,2.03,1.69,1.81,1.52
2024-11-02 16:10:00,2,1.66,1.78,1.49
2024-11-02 16:20:00,1.98,1.61,1.76,1.49
2024-11-02 16:30:00,1.96,1.57,1.75,1.48
2024-11-02 16:40:00,1.94,1.54,1.74,1.47
2024-11-02 16:50:00,1.92,1.51,1.72,1.46
2024-11-02 17:00:00,1.91,1.49,1.71,1.46
2024-11-02 17:10:00,1.89,1.47,1.7,1.44
2024-11-02 17:20:00,1.89,1.45,1.68,1.44
2024-11-02 17:30:00,1.87,1.44,1.67,1.43
2024-11-02 17:40:00,1.86,1.43,1.66,1.42
2024-11-02 17:50:00,1.85,1.41,1.65,1.42
2024-11-02 18:00:00,1.84,1.37,1.65,1.41
2024-11-02 18:10:00,1.82,1.36,1.64,1.39
2024-11-02 18:20:00,1.81,1.34,1.62,1.4
2024-11-02 18:30:00,1.81,1.33,1.61,1.39
2024-11-02 18:40:00,1.8,1.31,1.59,1.38
2024-11-02 18:50:00,1.79,1.3,1.57,1.38
2024-11-02 19:00:00,1.78,1.28,1.57,1.37
2024-11-02 19:10:00,1.78,1.28,1.56,1.37
2024-11-02 19:20:00,1.77,1.27,1.54,1.36
2024-11-02 19:30:00,1.75,1.25,1.52,1.35
2024-11-02 19:40:00,1.75,1.25,1.52,1.35
2024-11-02 19:50:00,1.75,1.22,1.51,1.35
2024-11-02 20:00:00,1.74,1.21,1.48,1.33
2024-11-02 20:10:00,1.73,1.2,1.46,1.33
2024-11-02 20:20:00,1.73,1.2,1.46,1.33
2024-11-02 20:30:00,1.73,1.2,1.46,1.32
2024-11-02 20:40:00,1.73,1.2,1.46,1.32
2024-11-02 20:50:00,1.73,1.2,1.46,1.31
2024-11-02 21:00:00,1.73,1.2,1.46,1.3
2024-11-02 21:10:00,1.7,1.19,1.36,1.3
2024-11-02 21:20:00,1.7,1.19,1.36,1.28
2024-11-02 21:30:00,1.7,1.19,1.36,1.28
2024-11-02 21:40:00,1.7,1.19,1.36,1.27
2024-11-02 21:50:00,1.7,1.19,1.36,1.27
2024-11-02 22:00:00,1.7,1.19,1.36,1.26
2024-11-02 22:10:00,1.67,1.27,1.29,1.26
2024-11-02 22:20:00,1.67,1.27,1.29,1.25
2024-11-02 22:30:00,1.67,1.27,1.29,1.24
2024-11-02 22:40:00,1.67,1.27,1.29,1.24
2024-11-02 22:50:00,1.67,1.27,1.29,1.23
2024-11-02 23:00:00,1.67,1.27,1.29,1.23
2024-11-02 23:10:00,1.65,1.22,1.26,1.22
2024-11-02 23:20:00,1.65,1.22,1.26,1.22
2024-11-02 23:30:00,1.65,1.22,1.26,1.21
2024-11-02 23:40:00,1.65,1.22,1.26,1.21
2024-11-02 23:50:00,1.65,1.22,1.26,1.2
2024-11-03 00:00:00,1.65,1.22,1.26,1.19
2024-11-03 00:10:00,1.63,1.16,1.23,1.19
2024-11-03 00:20:00,1.63,1.16,1.23,1.19
2024-11-03 00:30:00,1.63,1.16,1.23,1.18
2024-11-03 00:40:00,1.63,1.16,1.23,1.17
2024-11-03 00:50:00,1.63,1.16,1.23,1.17
2024-11-03 01:00:00,1.63,1.16,1.23,1.16
2024-11-03 01:10:00,1.61,1.14,1.19,1.16
2024-11-03 01:20:00,1.61,1.14,1.19,1.15
2024-11-03 01:30:00,1.61,1.14,1.19,1.15
2024-11-03 01:40:00,1.61,1.14,1.19,1.14
